start,today,latitude,longitude,gps_precision,Respondent_ID,01_Foods_made_from_grains,02_Whole_grains,03_White_roots_or_tubers,04_Pulses,QC1,05_Vitamin_A-rich_orange_vegetables,06_Dark_green_leafy_vegetables,06a_Dark_green_leafy_vegetables,06b_Dark_green_leafy_vegetables,07_Other_vegetables,08_Vitamin_A-rich_fruits,09_Citrus,10_Other_fruits,10a_Other_fruits,QC2,10b_Other_fruits,11_Baked_or_grain-based_sweets,12_Other_sweets,13_Eggs,14_Cheese,15_Yogurt,16_Processed_meats,17_Unprocessed_red_meat_ruminant,18_Unprocessed_red_meat_non_ruminant,19_Poultry,QC3,20_Fish_or_seafood,21_Nuts_or_seeds,22_Packaged_ultra-processed_salty_snacks,QC4,23_Instant_noodles,24_Deep_fried_foods,25_Milk,26_Sweet tea_coffee_or_cocoa,27_Fruit_juice_or_fruit_drinks,28_Soft_drinks,29_Fast_food
2024-09-13T10:26:38.527+01:00,09/13/2024,7.4986633,3.9066383,3.957,1028289,1,1,0,1,,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,1,1,0,,0,0,0,,0,0,0,0,0,0,0
2024-09-13T11:10:40.437+01:00,09/13/2024,7.4985376,3.9065945,11.882,102015247,1,1,1,0,,0,1,1,0,0,0,0,0,0,,0,1,0,1,0,0,1,1,0,0,,1,1,1,,1,1,1,1,0,0,0
2024-09-13T13:13:11.242+01:00,09/13/2024,7.4985656,3.9059502,3.095,90359790,1,0,0,0,,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,1,0,0,,0,0,0,0,0,0,0
2024-09-13T13:13:36.751+01:00,09/13/2024,7.4984816,3.905935,5.828,987654321,1,0,1,1,,0,1,1,0,0,0,0,1,1,,0,1,0,0,0,0,1,0,0,0,,0,1,0,,0,0,0,0,1,0,0
2024-09-13T13:43:20.875+01:00,09/13/2024,7.4985004,3.9064725,22.768,81355724,0,0,0,1,,0,1,1,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0
2024-09-24T13:13:58.235+01:00,09/24/2024,8.9469346,8.5983613,3.93,123456789,0,0,1,1,,0,1,1,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,,0,0,1,,1,0,0,0,0,0,0
2024-09-24T13:21:35.140+01:00,09/24/2024,8.838317,7.8882777,6.533,411409635,1,0,1,1,,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,1,1,0,0,,0,1,0,,1,0,0,0,0,0,0
2024-09-24T13:26:29.394+01:00,09/24/2024,7.6715873,8.5356715,2.1,123456789,1,0,0,0,,0,1,1,0,1,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,,0,1,0,,0,0,0,0,1,1,0
2024-09-24T13:33:24.768+01:00,09/24/2024,9.0019911,7.6492163,2799.999,813135765,1,1,1,1,,1,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,0,1,0,1,,0,1,1,,0,1,1,1,1,1,1
2024-09-24T13:09:44.187+01:00,09/24/2024,8.4935505,8.5281705,3.93,81038932,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1
2024-09-24T13:41:31.746+01:00,09/24/2024,8.8482383,7.880095,4,200567890,1,1,1,1,,0,0,0,0,1,1,1,1,1,,0,1,0,1,0,1,0,1,0,1,,0,1,0,,1,1,1,1,1,1,1
2024-09-24T13:12:46.679+01:00,09/24/2024,8.5190902,8.5284311,1.159,987654321,1,1,1,0,,0,1,0,1,0,0,1,0,0,,0,1,0,1,1,0,0,1,0,0,,0,1,0,,1,1,1,1,0,1,0
2024-09-24T13:47:51.100+01:00,09/24/2024,8.518983,8.5283581,4,123459876,1,0,1,0,,0,1,0,1,0,0,1,0,0,,0,1,0,1,0,0,0,0,0,0,,0,1,1,,1,0,1,1,0,1,0
2024-09-24T13:49:32.151+01:00,09/24/2024,8.51233,8.5482849,2.107,363411940,1,1,1,1,,0,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,1,,1,1,1,,1,1,1,1,1,1,1
2024-09-24T14:04:32.320+01:00,09/24/2024,8.8495028,7.8862768,2299.999,222244445,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1
2024-09-24T14:13:33.603+01:00,09/24/2024,8.8469162,7.8954627,2299.999,1234567891,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,0,1,1,,1,1,1,1,1,1,1
2024-09-24T14:07:43.393+01:00,09/24/2024,8.5085475,8.5265429,3.296,123456789,1,1,0,0,,0,1,1,1,1,0,0,1,1,,0,0,0,0,0,0,0,1,0,1,,0,0,0,,0,0,0,1,1,1,0
2024-09-24T13:21:23.292+01:00,09/24/2024,7.1456276,3.3922346,3.56,199657002,1,0,1,1,,1,1,1,0,1,0,1,1,1,,1,1,0,1,0,1,0,1,0,1,,1,1,1,,1,1,0,1,1,0,1
2024-09-24T13:45:32.959+01:00,09/24/2024,8.5161945,8.5317671,3.98,67775333,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1
2024-09-24T14:12:22.077+01:00,09/24/2024,8.512275,8.5318087,3.66,36943426,1,0,0,1,,0,0,0,0,1,0,0,1,0,,1,1,0,1,0,0,0,0,0,0,,0,1,0,,0,0,1,1,0,0,0
2024-09-24T14:15:31.337+01:00,09/24/2024,8.5201221,8.5224951,1.898,123456789,1,0,0,0,,0,0,0,0,1,1,0,1,1,,1,0,0,1,0,1,0,0,0,0,,0,1,0,,0,0,0,0,0,0,0
2024-09-24T13:57:25.928+01:00,09/24/2024,8.9470669,8.5956512,3.983,70551945,1,0,0,1,,0,1,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,,0,1,0,,0,0,1,0,0,0,0
2024-09-24T14:27:00.134+01:00,09/24/2024,9.0637152,7.4839251,115.506,565656565,1,1,1,1,,1,1,1,0,1,1,0,1,1,,1,0,0,0,0,0,0,1,0,1,,1,1,0,,0,0,1,1,0,0,0
2024-09-24T14:49:18.679+01:00,09/24/2024,8.5601279,8.5391888,8.3,123456789,1,0,0,1,,0,0,0,0,1,1,0,1,1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,1,0,0,0,0,1,0
2024-09-24T14:37:16.609+01:00,09/24/2024,8.561749,8.5384143,4,9032394943,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,0,1,1,1,1
2024-09-24T14:38:24.578+01:00,09/24/2024,8.5666942,8.5403417,3.1,234567890,1,1,1,1,,0,0,0,0,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,1,,1,0,0,,1,1,0,1,1,1,0
2024-09-24T14:33:17.129+01:00,09/24/2024,10.2890785,11.0501397,2000,80537956,1,1,0,0,,0,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,0,1,0,0,,1,0,0,,0,0,1,1,0,1,1
2024-09-24T15:00:36.301+01:00,09/24/2024,9.0004491,7.4678211,22.432,123456789,1,1,1,1,,1,1,0,1,0,0,0,1,1,,1,1,1,0,0,0,0,1,0,0,,0,1,0,,1,1,0,1,0,1,0
2024-09-24T15:04:58.394+01:00,09/24/2024,8.8430845,7.8853604,3.925,123456789,1,0,0,0,,0,1,1,0,1,0,0,0,0,,0,0,0,0,1,0,1,1,0,0,,0,0,0,,0,0,0,0,1,0,0
2024-09-24T15:07:32.522+01:00,09/24/2024,8.5297405,8.5446773,3.24,81411715,1,1,1,1,,1,1,1,1,1,0,0,0,0,,0,1,0,1,0,0,1,1,0,0,,1,0,0,,1,1,0,1,0,1,0
2024-09-24T15:15:12.032+01:00,09/24/2024,8.9472995,8.595627,3.983,81682046,1,0,1,1,,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,0,,0,0,0,0,0,0,0
2024-09-24T15:14:12.576+01:00,09/24/2024,9.0393424,7.5843268,0.794,198737040,1,0,1,0,,1,1,1,1,1,0,0,0,0,,0,1,0,1,0,0,0,1,0,0,,0,1,0,,1,0,1,1,1,1,0
2024-09-24T14:39:09.921+01:00,09/24/2024,8.5104829,8.5454073,3.64,64978032,1,0,0,0,,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0
2024-09-26T06:09:38.044+01:00,09/26/2024,8.5173848,8.5455659,4,"09021121999
",1,0,0,1,,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,,0,0,0,,0,0,1,1,0,0,0
2024-09-26T08:51:24.344+01:00,09/26/2024,10.2902266,11.0770101,1700,80537956,1,0,1,1,,0,1,0,1,1,1,1,0,0,,0,1,1,0,0,1,0,1,0,0,,1,0,0,,0,0,1,1,0,1,0
2024-09-24T15:01:54.295+01:00,09/24/2024,7.0516691,3.1785752,9.179,80267939,1,1,0,1,,0,1,1,0,1,1,0,1,1,,1,0,0,0,1,0,0,1,0,1,,1,1,0,,0,0,1,0,0,0,0
2024-09-26T10:15:30.770+01:00,09/26/2024,8.4977717,8.5377691,12.38,565656565,1,1,0,0,,0,1,1,0,1,0,0,1,1,,0,0,0,0,1,0,0,0,0,1,,1,0,0,,0,0,1,0,0,0,0
2024-09-26T10:53:45.558+01:00,09/26/2024,8.5028478,8.5351969,2400,166713466,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,1,,1,1,1,,1,1,1,1,1,1,1
2024-09-26T10:55:57.622+01:00,09/26/2024,8.8412616,7.8688082,3.988,123456789,1,0,0,1,,1,1,0,1,1,1,0,1,1,,1,0,0,1,1,1,1,1,0,0,,1,1,1,,0,1,0,1,1,0,0
